Name,Latitude,Longitude,Description,Type
Unnamed Bicycle Parking,1.4438629,103.7822096,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3382186,103.8402276,"Capacity: 48, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.4409968,103.8017654,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.2782823,103.801263,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.2906646,103.7736642,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.279568,103.7964571,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.2943009,103.775546,"Capacity: 25, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.3825119,103.893954,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.2991258,103.8570386,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3174519,103.8079698,"Capacity: Unknown Capacity, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.3913915,103.8918196,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3913135,103.898195,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3905251,103.8942576,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.390443,103.894492,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3894343,103.8932861,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3976524,103.9002717,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3974403,103.900237,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3001965,103.8515526,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3013552,103.8528656,"Capacity: 4, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.3018829,103.8544765,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3715607,103.7797321,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3925175,103.8971395,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.392418,103.8974673,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3925095,103.8956604,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3970336,103.8972138,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3934702,103.8981978,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.396138,103.8966355,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3943091,103.8918775,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3952021,103.8921057,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3878156,103.8981484,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3899664,103.8920156,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3918718,103.8921563,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3918678,103.8924564,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4173405,103.8327237,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4093831,103.8307025,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.2950388,103.7748782,"Capacity: 20, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.33271,103.8886069,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3970232,103.8186599,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.2524953,103.8214081,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.2698327,103.7964084,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.2893663,103.8511859,"Capacity: 20, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.2802998,103.8235782,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3135874,103.8608835,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3074597,103.8485049,"Capacity: 21, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.4164416,103.9152122,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.2793383,103.7914973,"Capacity: 20, Covered: Unknown",Bicycle Parking
