Name,Latitude,Longitude,Description,Type
Boon Lay Place Food Village,,,"Postal Code:: 642221<br>Level:: 1<br>Description:: Perimeter of hawker center, near the carpark entrance<br>Temperature of water:: Room Temperature<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
ActiveSG Hockey Village Gym @ Boon Lay,,,"Postal Code:: 649883<br>Level:: 1<br>Description:: Inside the resting lounge (hot and cold) and outside toilets (cold only)<br>Temperature of water:: Cold, Hot<br>Operator:: SportSG<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Boon Lay Community Club,,,Postal Code:: 649882<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Jurong Spring Community Club,,,Postal Code:: 649296<br>Level:: 1<br>Description:: Near hardcourt<br>Temperature of water:: Cold<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Jurong Green Community Club,,,Postal Code:: 649520<br>Level:: 1<br>Description:: Hardcourt<br>Temperature of water:: Cold<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Devan Nair Institute For Employment And Employability,,,"Postal Code:: 609607<br>Level:: 2<br>Description:: En-route to the toilets from J-Walk, along the plants landscaping looking towards Toh Guan HDB Estate<br>Temperature of water:: Cold<br>Operator:: NTUC<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Bougainvillea Park,,,Postal Code:: 289618<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Unsure<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Yew Tee Community Club,,,Postal Code:: 689286<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Cross Street Exchange,,,"Postal Code:: 048423<br>Level:: B1<br>Description:: Relax Zone, near toilets<br>Temperature of water:: Cold, Hot, Room Temperature<br>Operator:: Cross Street Exchange<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Amoy Street Food Centre,,,Postal Code:: 069111<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Singapore Chinese Cultural Centre,,,Postal Code:: 018906<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: Singapore Chinese Cultural Centre<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Cairnhill Community Club,,,"Postal Code:: 229944<br>Level:: 1, 3<br>Description:: 1 - Outside public toilets; 3 - near basketball court<br>Temperature of water:: Cold<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Newton Food Centre,,,Postal Code:: 229495<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Junction 8,,,"Postal Code:: 579837<br>Level:: 3<br>Description:: Pantry near the toilets near Jean Yip (#03-06/07/08)<br>Temperature of water:: Cold, Hot<br>Operator:: CapitaLand<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Ang Mo Kio Public Library,,,Postal Code:: 569842<br>Level:: 2<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: NLB<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Bishan Public Library,,,Postal Code:: 579841<br>Level:: 2<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: NLB<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Toa Payoh Public Library,,,Postal Code:: 319191<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: NLB<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
